1#0101	本类似群各部分之间商品不类似；
257#0748	本类似群第(二)部分与第七版及以前版本0750汽化器，活塞(机器或发动机部件)，活塞(机器或发动机零件)，活塞环，马达引擎用消声器，发动机和引擎用排气装置交叉检索；

258#0748	净化冷却空气用过滤器(引擎用)，机油滤清器(引擎部件)，空气滤清器(引擎部件)，柴油滤清器(引擎部件)，燃料滤清器(引擎部件)与0750过滤器(机器或引擎部件)类似；

259#0748	冰箱用电动机与第九版及以前版本第一部分冰箱电机交叉检索。

260#0749	本类似群各部分之间商品不类似；

261#0749	2、本类似群第（一）部分的汽车油泵，汽车水泵，汽车发动机用机油泵，汽车发动机用汽油泵与第七版及以前版本1202的汽车零部件，汽车配件及其他属于本类似群的商品交叉检索；

262#0749	3、本类似群第（一）部分与第九版及以前版本的0902自动调节燃料泵，加油站发油泵，加油站汽油泵，电脑计量加油机交叉检索；

263#0749	4、本类似群第（二）部分与0602金属阀门（非机器部件），金属排水阱（阀），金属水管阀类似，与第十版及以前版本0602金属阀门（非机器零件）交叉检索；

264#0749	5、本类似群第（三）部分与第八版及以前版本0726增压机，0753冷凝装置交叉检索；

265#0749	6、本类似群第（四）部分液压滤油器与0750过滤器（机器或引擎部件）类似；

266#0749	7、本类似群第（一）部分自闭式加油枪与第十版及以前版本0753自闭式加油枪交叉检索。

267#0750	本类似群各部分之间商品不类似；

268#0750	车辆轴承与第八版及以前版本1202车辆轴承交叉检索；

269#0750	汽车发动机飞轮，汽车发动机曲轴，汽车发动机凸轮轴与第七版及以前版本1202汽车零部件，汽车配件及其他属于本类似群的商品交叉检索；

270#0750	过滤器（机器或引擎部件）与0748净化冷却空气用过滤器（引擎用），机油滤清器（引擎部件），空气滤清器（引擎部件），柴油滤清器（引擎部件），燃料滤清器（引擎部件），0749液压滤油器类似，与第十版及以前版本0748机油滤清器，空气滤清器，柴油滤清器交叉检索；

271#0750	电动关门器，电动开门器与第九版及以前版本0924电动关门器，电动开门器交叉检索；

272#0750	电操作刷（机器部件）与第十版及以前版本0748电操作刷交叉检索；

273#0750	机器、引擎或马达用控制缆，机器、引擎或马达用机械控制装置与第十版及以前版本0748机器、引擎或马达用控制缆，机器、引擎或马达用机械控制装置，机器、引擎或马达用控制装置交叉检索。

274#0751	本类似群与第九版及以前版本的0917交叉检索；

275#0751	本类似群与第九版及以前版本的1102喷焊灯，热焊枪，喷灯交叉检索。

276#0752	真空吸尘器与第六版及以前版本0924吸尘器，真空吸尘器交叉检索；

277#0752	真空吸尘器袋与第七版及以前版本1609真空吸尘器的替换纸袋交叉检索；

278#0752	本类似群与第八版及以前版本的0753粉碎机，粉碎机（机器），工业用切碎机（机器）交叉检索；

279#0752	跨类似群保护商品：粉碎机（0702第（二）部分，0725，0733，0752）；工业用切碎机（机器）（0702第（二）部分，0709，0752）；碾碎机（0709，0733，0752）。

280#0753	本类似群各部之间商品不类似；

281#0753	本类似群第（三）部分商品根据商品的功能、用途确定类似商品；

282#0753	电动卷门机与第七版及以前版本的0750电动卷门机交叉检索；

283#0753	贴标签机（机器）与第八版及以前版本的0709贴标机，0705贴标签机（机器）交叉检索；

284#0753	自动售货机与第九版及以前版本的0902第（四）部分自动售货机交叉检索。

285#0754	本类似群与0915商品类似。

286#0801	本类似群各种砂轮与0742砂轮（机器部件）类似；

287#0801	跨类似群保护商品：手动的手工具（0801，0802，0803，0804，0805，0806，0807，0808，0809，0810）。

288#0802	跨类似群保护商品：手动的手工具（0801，0802，0803，0804，0805，0806，0807，0808，0809，0810）。

289#0803	 杀虫剂用喷雾器（手工具），杀虫剂用喷洒器与0701喷雾机类似，与第十版及以前版本0701喷雾器（机器），喷雾机（机器）交叉检索；

290#0803	跨类似群保护商品：手动的手工具（0801，0802，0803，0804，0805，0806，0807，0808，0809，0810）。

291#0804	跨类似群保护商品：手动的手工具（0801，0802，0803，0804，0805，0806，0807，0808，0809，0810）。

292#0805	跨类似群保护商品：手动的手工具（0801，0802，0803，0804，0805，0806，0807，0808，0809，0810）。

293#0806	 烫发钳，烫发用铁夹，卷发用手工具与2602电和非电的发卷（非手工具）类似，与第十一版及以前版本2602卷发器（非手工具），与第九版及以前版本0924电热卷发器交叉检索；

294#0806	文身器，文身针与第八版及以前版本已接受商品1001文身机，纹身机，纹身器材，纹眉机交叉检索；

295#0806	卷睫毛夹与第八版及以前版本2110卷睫毛工具交叉检索；

296#0806	跨类似群保护商品:手动的手工具(0801，0802，0803，0804，0805，0806，0807，0808，0809，0810)。

297#0807	跨类似群保护商品：手动的手工具（0801，0802，0803，0804，0805，0806，0807，0808，0809，0810）。

298#0807	滑雪板用刮板与第十版及以前版本2807滑雪板用刮板交叉检索。

299#0808	手动打气筒与1204的第（二）部分商品类似；

300#0808	手动千斤顶与0734齿条齿轮千斤顶，千斤顶（机器），铁路货车用千斤顶，气动千斤顶类似，与第十一版及以前版本0734卡车用千斤顶，货车用千斤顶交叉检索；

301#0808	烫皱褶用熨斗，熨斗与1106织物蒸汽挂熨机以及第九版及以前版本0924电熨斗，蒸汽挂熨机类似；

302#0808	跨类似群保护商品：手动的手工具（0801，0802，0803，0804，0805，0806，0807，0808，0809，0810）。

303#0809	调色刀与第十版及以前版本0810调色刀交叉检索；

304#0809	跨类似群保护商品：手动的手工具（0801，0802，0803，0804，0805，0806，0807，0808，0809，0810）。

305#0810	非电动开罐器与2101 开塞钻（电或非电），开瓶器（电或非电）类似，与第十版及以前版本2101 开瓶刀，开塞钻交叉检索；

306#0810	跨类似群保护商品：手动的手工具（0801，0802，0803，0804，0805，0806，0807，0808，0809，0810）。

307#0810	毛球修剪器与第十版及以前版本 0806 已接受商品毛球修剪器交叉检索

308#0811	本类似群商品与第十版及以前版本0808指节铜套，大头短棒，第九版及以前版本铜指节套，拳击环（指节铜套）交叉检索。

309#0812	本类似群商品与第八版及以前版本2101勺子（餐具），非贵重金属餐具类似。

310#0813	本类似群与第十版及以前版本0609金属工具柄，金属刀柄，金属镰刀柄，2003非金属刀柄，非金属镰刀柄，非金属工具柄交叉检索。

311#0901	 光盘，CD 盘(只读存储器)，光学数据介质与0908CD 盘(音像)，光盘(音像)类似，与第九版及以前版本0908密纹盘(音像)，密纹声像盘交叉检索；

312#0901	电子出版物（可下载），可下载的手机铃音，可下载的音乐文件，可下载的影像文件，移动电话用可下载图像与0908唱片，录音带，录像带，CD盘（音像），盒式录像带，光盘（音像）类似；

313#0901	本类似群与第八版及以前版本0911光学字符读出器，光学字符阅读机，光学数据介质，光学数据媒介交叉检索；

314#0901	视频游戏卡与第九版及以前版本0908电视游戏卡交叉检索；

315#0901	计算圆尺，计算尺与第十版及以前版本0902计算尺交叉检索；

316#0901	跨类似群保护商品:打印机和复印机用未填充的鼓粉盒(0901，0903)；

317#0901	商品电子标签与第十版及以前版本0902商品电子标签交叉检索；

318#0901	计算机屏幕专用保护膜与第十版及以前版本1703已接受商品计算机屏幕保护膜交叉检索；

319#0901	智能手表（数据处理）与1404商品类似。

320#0902	本类似群各部分之间商品不类似；

321#0902	第（五）部分内的商品互相之间不判为类似商品；

322#0902	煮蛋计时器（沙漏）、沙漏与第七版及以前版本2106计时沙漏交叉检索。

323#0902	全息图与第十版及以前版本0909 全息图交叉检索

324#0902	第（六）部分与第十版及以前版本第（三）验手纹机交叉检索。

325#0903	电传真设备，传真机与0907电话机类似；

326#0903	考勤钟（时间记录装置）与第十版及以前版本0902第（一）部分考勤钟（时间记录装置）交叉检索；

327#0903	跨类似群保护商品：打印机和复印机用未填充的鼓粉盒（0901，0903）。

328#0905	规尺（量具），圆规（测量仪器），量具，尺（量器），刻度尺与1616商品类似。

329#0907	电话机与0903电传真设备，传真机类似；

330#0907	手机带与第九版及以前版本2601手机带交叉检索。

331#0907	手机屏幕专用保护膜与第十版及以前版本 1703 已接受商品手机屏幕保护膜交叉检索。

332#0908	CD盘（音像），光盘（音像）与0901光盘，CD盘（只读存储器），光学数据介质以及第九版及以前版本0901密纹光盘（可读存储器），光学数据媒介交叉检索；

333#0908	唱片，录音带，录像带，CD盘（音像），盒式录像带，光盘（音像）与0901电子出版物（可下载），可下载的手机铃音，可下载的音乐文件，可下载的影像文件，移动电话用可下载图像类似；

334#0908	学习机，电子教学学习机，带有图书的电子发声装置与1606带有电子发声装置的儿童图书类似。

335#0909	自拍杆（手持单脚架）与0907手机用自拍杆类似。

336#0910	本类似群第一自然段商品与各部分商品均类似；

337#0910	本类似群各部分之间商品不类似；

338#0910	本类似群第（六）部分内的商品互相之间将根据商品的功能、用途确定类似商品；

339#0910	铅锤与第十版及以前版本0905吊线坠交叉检索；

340#0910	测角器与第十版及以前版本0905角度测量工具交叉检索。

341#0911	武器用瞄准望远镜，火器用瞄准望远镜与1301除瞄准望远镜外的火器用瞄准器，除瞄准望远镜外的武器用瞄准器，枪和步枪用瞄准镜，步枪瞄准镜，枪瞄准镜类似。

342#0912	纤维光缆与0913第（七）部分商品以及第九版及以前版本0907纤维光缆交叉检索；

343#0912	汽车电线束与第十一版及以前版本1202已接受商品汽车电线束，第十版及以前版本1203已接受商品摩托车电线束交叉检索。

344#0913	本类似群第（二）、（三）部分互为类似商品，第（三）、（四）部分互为类似商品，其他各部分之间商品不类似；

345#0913	第（七）部分的商品与0912纤维光缆以及第九版及以前版本0907纤维光缆类似；

346#0913	舞台灯光调节器与第七版及以前版本1101舞台灯光调节器交叉检索；

347#0913	半导体与第八版及以前版本0908半导体交叉检索。

348#0914	本类似群各部分之间商品不类似。

349#0915	本类似群与0754商品类似。

350#0916	消防水龙带与1704帆布水龙带以及与第九版及以前版本1704消防水龙带交叉检索。

351#0919	防水衣与2504防水服类似；

352#0919	潜水用耳塞与第七版及以前版本1004耳塞交叉检索；

353#0919	体育用护目镜，护目镜，防眩光眼镜与0921商品类似；

354#0919	消防队员用石棉挡板与第八版及以前版本1705消防队员用石棉掩护物，消防人员用石棉挡板交叉检索；

355#0919	救生圈，救生衣与2809 翼型浮袋，游泳圈，游泳浮力背心类似，与第十版及以前版本2809洗澡或游泳用浮囊交叉检索；

356#0919	太平梯与第九版及以前版本0916太平梯交叉检索。

357#0920	本类似群第一自然段商品与1202车辆倒退警报器，车辆防盗设备，1211运载工具防盗报警器、运载工具防盗设备类似，与第九版及以前版本1202车辆防盗警铃交叉检索；

358#0920	电锁与0610除金属钥匙以外的其他商品类似。

359#0921	本类似群商品与0919体育用护目镜，护目镜，防眩光眼镜类似，与第九版及以前版本0919体育用风镜交叉检索。

360#0922	太阳能电池，发电用太阳能电池板与0603光伏电池组成的金属屋顶板，1909太阳能电池组成的非金属屋顶板类似，与第十版及以前版本0603太阳能电池组成的金属屋顶板交叉检索。

361#0923	本类似群商品与0107未曝光的感光胶片，未曝光的X光感光胶片，未曝光的感光电影胶片以及第九版及以前版本0107感光但未曝光的X光胶片，未曝光感光胶卷交叉检索。

362#0924	  本类似群内的商品互相之间根据商品的功能、用途确定类似商品；

363#0924	本类似群原第（二）部分电热袜，电暖衣服，电马甲，电手套，电靴第十一版时移入1111类似群；

364#0924	运动哨与第十一版及以前版本2807口哨交叉检索。

365#1001	医疗器械和仪器与1002，1003商品类似；

366#1001	医用熏蒸设备与1109非医用熏蒸设备，蒸脸器具（蒸汽浴）类似；

367#1001	医生用器械箱，医疗器械箱与0501轻便药箱（已装药的），急救箱（备好药的）类似；

368#1001	兽医用器械和工具与0810兽医用刀类似；

369#1001	医用诊断设备与1003商品类似。

370#1002	本类似群商品与1001医疗器械和仪器类似。

371#1003	 医用电热垫，医用电热毯与1111非医用电加热垫，非医用电热毯类似，与第九版及以前版本1111非医用电毯，非医用电加热垫(衬垫)，电热毯交叉检索；

372#1003	医用紫外线灯，医用紫外线杀菌灯与1101第(三)部分商品类似；

373#1003	本类似群与1001医疗器械和仪器，医用诊断设备类似。

374#1004	卧床病人用便盆，卧床病人用尿壶与2106便壶，痰盂类似；

375#1004	医用痰盂与2106痰盂类似；

376#1004	医用床，医用充气床与2001医院用病床，按摩用床类似，与第九版及以前版本2001医院用床交叉检索；

377#1004	无菌罩布(外科用)与第九版及以前版本0506外科手术用布(织物)交叉检索；

378#1004	耳塞(听力保护装置)与第九版及以前版本0919耳塞交叉检索；

379#1004	抗风湿手环，抗风湿指环，医用手镯与第十版及以前版本0506防风湿手环，防风湿指环，医用手镯交叉检索；

380#1004	急救用热敷袋与第十一版及以前版本1003急救用热敷布（袋）交叉检索。

381#1006	性爱娃娃与第九版及以前版本的2006充气娃娃（非医用性助器）交叉检索。

382#1008	矫形用关节绷带，支撑绷带，弹性绷带，悬吊式绷带，矫形用膝绷带，矫形用石膏绷带，吊带（支撑绷带）与0506包扎绷带，外科用肩绷带类似，与第十版及以前版本0506卫生绷带，第八版及以前版本0506绷带交叉检索；

383#1008	孕妇托腹带与第十版及以前版本1004孕妇托腹带交叉检索。

384#1101	本类似群各部分之间商品不类似；

385#1101	本类似群第（一）部分的灯，照明器械及装置与第（二）部分商品以及1103商品类似；

386#1101	本类似群第（二）部分商品与第（一）部分的灯，照明器械及装置，1211运载工具防眩光装置，运载工具遮光装置类似，与第十一版及以前版本1211运载工具转向信号装置，第九版及以前版本1202车辆转向信号灯，车辆转向信号装置，车辆防眩光装置，车辆遮光装置交叉检索；

387#1101	本类似群第（三）部分商品与1003医用紫外线灯，医用紫外线杀菌灯类似；

388#1101	照明用提灯，装蜡烛的提灯与第十一版及以前版本1103照明用提灯交叉检索。

389#1103	本类似群商品与1101第（一）部分的灯，照明器械及装置类似。

390#1104	本类似群各部分之间商品不类似；

391#1104	太阳灶与1109太阳能集热器，太阳能收集器类似；

392#1104	电热水壶，电热水瓶，电开水器与1110饮水机类似；

393#1104	电热水瓶与2111暖水瓶类似；

394#1104	电动制酸奶器与第九版及以前版本0709酸奶机交叉检索；

395#1104	制面包机与第九版及以前版本0709面包机交叉检索；

396#1104	跨类似群保护商品：冷热饮料机（加热或制冷）（1104第（一）部分，1105）。

397#1105	跨类似群保护商品：冷热饮料机（加热或制冷）（1104第（一）部分，1105）

398#1106	本类似群各部分之间商品不类似；

399#1106	电干衣机与0724商品类似；

400#1106	织物蒸汽挂熨机与0808烫皱褶用熨斗，熨斗类似，与第九版及以前版本0924电熨斗，蒸汽挂熨机交叉检索。

401#1106	跨类似群保护商品：空气或水处理用电离设备（1106第（一）部分，1110第（一）部分）。

402#1106	涤气器（气体装置部件）与第十版及以前版本1107涤气器（气体装置部件）交叉检索。

403#1107	本类似群各部分之间商品不类似；

404#1107	蒸汽锅炉（非机器部件）与0737蒸汽机锅炉类似；

405#1107	自来水或煤气设备和管道的调节附件，自来水或煤气设备和管道的保险附件与1108自来水设备的调节和安全附件类似；

406#1107	窑具（支架）与第八版及以前版本1907陶瓷窑具交叉检索；

407#1107	舞台烟雾机与第七版及以前版本0718舞台烟雾机交叉检索;

408#1107	乙炔发生器与第九版及以前版本1102乙炔发生器交叉检索；

409#1107	太阳炉与1109太阳能集热器，太阳能收集器类似；

410#1107	跨类似群保护商品:水箱液面控制阀(1107第(一)部分，1109)；

411#1107	回转窑，焙烧炉与第十版及以前版本0731回转窑，焙烧炉交叉检索。

412#1108	本类似群各部分之间商品不类似；

413#1108	本类似群第（一）部分商品与0602的商品类似；

414#1108	自来水设备的调节和安全附件与1107自来水或煤气设备和管道的调节附件，自来水或煤气设备和管道的保险附件类似，与第十版及以前版本1107供水或供煤气的设备和管道的调节附件，供水或供煤气的设备和管道的保险附件交叉检索；

415#1108	管道（卫生设备部件），卫生设备用水管，引水管道设备与1109浴室用管子装置类似；

416#1108	农业用排灌机与0701排水机类似以及第七版及以前版本0701农业用排灌机交叉检索。

417#1109	非医用熏蒸设备，蒸脸器具（蒸汽浴）与1001医用熏蒸设备类似；

418#1109	太阳能集热器，太阳能收集器与1104太阳灶以及1107太阳炉类似；

419#1109	太阳能热水器，淋浴热水器，蒸汽浴装置，淋浴器，沐浴用设备，桑拿浴设备，蒸脸器具（蒸汽浴），洗涤用热水器（煤气或电加热）与第十版及以前版本1104 煤气热水器，电热水器，第九版及以前版本热水器交叉检索；

420#1109	浴室用管子装置与1108管道（卫生设备部件），卫生设备用水管，引水管道设备类似，与第九版及以前版本1108排水管道设备交叉检索；

421#1109	跨类似群保护商品：水箱液面控制阀（1107第（一）部分，1109）。

422#1110	饮水机与1104 电热水壶，电热水瓶，电开水器类似，与第十版及以前版本1104 电热壶交叉检索；

423#1110	跨类似群保护商品：空气或水处理用电离设备（1106第（一）部分，1110）。

424#1111	非医用电加热垫，非医用电热毯与1003医用电热垫，医用电热毯类似，与第十版及以前版本1003医用电毯交叉检索；

425#1111	炉子(取暖器具)与第九版及以前版本1104炉子(取暖器具)交叉检索；

426#1111	本类似群与第十版及以前版本0924原第（二）部分电热袜，电暖衣服，电马甲，电手套，电靴交叉检索。

427#1201	跨类似群保护商品：厢式餐车（1201，1202）；餐饮车（厢式）（1201，1202）；卧铺车厢（1201;1202）； 电动运载工具(1201，1202，1204第（一）部分，1205，1210)；陆、空、水或铁路用机动运载器（1201，1202，1204第（一）部分，1209，1210）；遥控运载工具（非玩具）（1201，1202，1205，1209，1210）；

428#1201	本类似群商品与1211商品类似。

429#1202	本类似群商品与1211商品类似；

430#1202	摩托车，踏板摩托车与 1204 机动自行车，电动自行车，机动三轮车，电动三轮车，助力车，滑板车（车辆） ，电动代步车（行动迟缓人使用）类似，与第十版及以前版本 1204 踏板车（机动车辆）交叉检索。

431#1202	车辆倒退警报器，车辆防盗设备与0920第一自然段商品类似；

432#1202	本类似群与第九版及以前版本的1203交叉检索；

433#1202	跨类似群保护商品：厢式餐车（1201；1202）；餐饮车（厢式）（1201，1202）；卧铺车厢（1201;1202）；电动运载工具(1201，1202，1204第（一）部分，1205，1210)；陆、空、水或铁路用机动运载器（1201，1202，1204第（一）部分，1209，1210）；遥控运载工具（非玩具）（1201，1202，1205，1209，1210）。

434#1202	汽车用点烟器与第九版及以前版本0924汽车用雪茄烟点火器交叉检索。

435#1202	摩托车车座与第十版及以前版本 1204 自行车、脚踏车或摩托车车座交叉检索。

436#1202	摩托车座套与第十版及以前版本1204自行车或摩托车座套交叉检索。

437#1204	本类似群各部分之间商品不类似；

438#1204	本类似群第（一）部分商品与1211商品类似；

439#1204	本类似群第（二）部分商品与0808手动打气筒类似；

440#1204	机动自行车，电动自行车，机动三轮车，电动三轮车，助力车，滑板车（车辆） ，电动代步车（行动迟缓人使用）与 1202 摩托车，踏板摩托车类似，与第九版及以前版本 1203 摩托车交叉检索；

441#1204	自行车马达与第八版及以前版本0748自行车电机交叉检索；

442#1204	跨类似群保护商品：电动运载工具(1201，1202，1204第（一）部分，1205，1210)；陆、空、水或铁路用机动运载器（1201，1202，1204第（一）部分，1209，1210）。

443#1205	本类似群商品与1211商品类似；

444#1205	跨类似群保护商品：电动运载工具(1201，1202，1204第（一）部分，1205，1210)；遥控运载工具（非玩具）（1201，1202，1205，1209，1210）。

445#1206	手推车与2001手推车（家具）类似，与第九版及以前版本的2001送茶手推车交叉检索；

446#1206	婴儿车，平卧式婴儿车与2001婴儿学步车类似；

447#1206	本类似群商品与1211商品类似。

448#1207	本类似群商品与1211商品类似。

449#1208	本类似群各部分之间商品不类似。

450#1209	降落伞与2807滑翔伞类似；

451#1209	跨类似群保护商品：陆、空、水或铁路用机动运载器（1201，1202，1204第（一）部分，1209，1210）；遥控运载工具（非玩具）（1201，1202，1205，1209，1210）；

452#1209	本类似群商品与1211商品类似。

453#1210	跨类似群保护商品：电动运载工具(1201；1202；1204第（一）部分；1205；1210)；陆、空、水或铁路用机动运载器（1201，1202，1204第（一）部分，1209，1210）；遥控运载工具（非玩具）（1201，1202，1205，1209，1210）；

454#1210	本类似群商品与1211商品类似。

455#1211	本类似群商品与1201，1202，1203，1204第（一）部分，1205，1206，1207，1209，1210商品类似；

456#1211	运载工具防盗设备，运载工具防盗报警器与0920第一自然段商品类似；

457#1211	运载工具防眩光装置，运载工具遮光装置与1101第（二）部分商品类似。

458#1301	除瞄准望远镜外的火器用瞄准器，除瞄准望远镜外的武器用瞄准器，枪和步枪用瞄准镜，步枪瞄准镜，枪瞄准镜与0911武器用瞄准望远镜，火器用瞄准望远镜类似。

459#1402	首饰盒与第八版及以前版本2006非贵重金属首饰盒交叉检索。

460#1403	本类似群与第八版及以前版本1402仿金制品，镀金物品交叉检索。

461#1403	赞珠，念珠与第十版及以前版本1621念珠交叉检索。

462#1404	本类似群与0901智能手表（数据处理）类似。

463#1601	纸与1602，1603，1604，1605，1609第一、二自然段类似。

464#1602	本类似群与1601纸类似；

465#1602	复印纸（文具），电传用纸，传真纸，热敏纸与第十版及以前版本 0107 传真纸，热敏纸交叉检索；

466#1602	复印纸（文具），复写纸与1605纸张（文具），写字纸类似；

467#1602	绘画和书法用纸与绘画用纸，裱纸类似，与其他技术用纸不类似。

468#1603	本类似群与1601纸类似；

469#1603	卫生纸，纸手帕，卸妆用薄纸，纸餐巾，纸巾，纸制洗脸巾，纸制抹布与0506卫生棉条，卫生护垫，卫生巾，浸药液的薄纸，消毒纸巾类似，与第十版及以前版本0506卫生垫，第九版及以前版本0506月经垫，浸药液的卫生纸交叉检索；

470#1603	卫生纸，纸手帕，卸妆用薄纸，纸餐巾，纸巾，纸制洗脸巾与0306浸化妆水的薄纸类似，与第九版及以前版本0306浸化妆品的卫生纸，浸化妆品的薄纸交叉检索；

471#1603	啤酒杯垫，纸制杯盘垫，纸制杯垫与2101纸盘，家用纸托盘类似。

472#1604	本类似群与1601纸类似。

473#1605	本类似群各部分之间商品不类似，但皮制行李标签与非纺织品标签类似；

474#1605	本类似群与1601纸类似；

475#1605	本类似群第(一)部分与1611家具除外的办公必需品，文具，学校用品(文具)，1614书写材料类似；

476#1605	日历(年历)，日历与1606印刷出版物类似；

477#1605	纸张(文具)，写字纸与1602复印纸(文具)，复写纸类似；

478#1605	印刷品与1606，1607第一、二自然段类似；

479#1605	不干胶纸与第十版及以前版本1615不干胶纸交叉检索。

480#1606	本类似群第（二）部分商品与第（一）部分印刷出版物类似，与其他商品不类似；

481#1606	本类似群与1605印刷品类似；

482#1606	印刷出版物与1605日历，日历（年历），1607第一、二自然段类似；与第九版及以前版本撕页日历交叉检索；

483#1606	带有电子发声装置的儿童图书与0908学习机，电子教学学习机，带有图书的电子发声装置类似。

484#1607	本类似群第一、二自然段与1605印刷品，1606印刷出版物类似。

485#1609	本类似群第一、二自然段与1601纸类似。

486#1610	本类似群与1611家具除外的办公必需品，文具，学校用品（文具）类似。

487#1611	家具除外的办公必需品，文具，学校用品（文具）与1605第（一）部分，1610，1612，1613，1614，1615，1616商品类似，家具除外的办公必需品也与1618商品类似；

488#1611	文件夹，文件夹（文具），文件夹（办公用品）与第八版及以前版本1802文件夹（皮革制）交叉检索；

489#1611	支票簿夹，护照夹与1802支票夹（皮夹），护照夹（皮夹）类似，与第十版及以前版本1802支票夹（皮革制），护照夹（皮革制）交叉检索；

490#1611	夹钱用夹子与第八版及以前版本0611普通金属制钱夹类似；

491#1611	文具盒（文具），文具盒（全套）与第九版及以前版本1614笔盒交叉检索；

492#1611	封面（文具）与第十版及以前版本1609 书籍封皮交叉检索。

493#1612	本类似群与1614书写材料类似；

494#1612	本类似群与1611家具除外的办公必需品，文具，学校用品（文具）类似。

495#1613	本类似群与1611家具除外的办公必需品，文具，学校用品（文具）类似。

496#1614	本类似群与1611家具除外的办公必需品，文具，学校用品（文具）类似；

497#1614	书写材料与1605第（一）部分、1612商品类似；

498#1614	排笔（文具）与2107排笔刷类似。

499#1615	本类似群与1611家具除外的办公必需品，文具，学校用品（文具）类似，与第十版及以前版本 1611 粘贴物（文具）交叉检索。

500#1616	本类似群与1611家具除外的办公必需品，文具，学校用品（文具）类似；

501#1616	本类似群与0905规尺（量具），测量用圆规，量具，尺（量器），刻度尺，测量用丁字尺，测量用直角板，测量用直角尺类似，与第十版及以前版本0905圆规（测量仪器）交叉检索。

502#1618	本类似群与1611家具除外的办公必需品类似；

503#1618	凸印版，胶版，电铸版与0705印刷版类似；

504#1618	办公用邮资盖印机，办公用邮资计费器与第九版及以前版本0902邮件打戳器交叉检索。

505#1619	本类似群各部分之间商品不类似，但第（二）部分商品与第（一）部分粉笔，做标记用粉笔，彩色粉笔（蜡笔）类似，与第八版及以前版本印记用粉笔交叉检索。

506#1620	模型用聚合物制黏土与2802橡皮泥（玩具），面泥（玩具）类似，与第十版及以前版本2802橡皮泥交叉检索。。

507#1701	液态橡胶，橡胶水与0115商品类似；

508#1701	跨类似群保护商品：生橡胶或半成品橡胶（1701，1703第（一）部分）。

509#1702	补漏用化学合成物与0115商品类似。

510#1702	聚氨酯泡沫填缝剂与0115商品类似，与第十一版及以前版本0104已接受商品聚氨酯泡沫填缝剂交叉检索

511#1703	本类似群各部分之间商品不类似，第（四）部分各商品之间互不类似；

512#1703	跨类似群保护商标：生橡胶或半成品橡胶（1701，1703第（一）部分）；

513#1703	管道用非金属接头，软管用非金属附件，硬管用非金属附件与1704，非金属软管浇水软管，纺织材料制软管，运载工具散热器用连接软管；与1909第（一）部分第一、二自然段类似，与第九版及以前版本本来1704车辆取暖器软管，车辆水箱用连接软管交叉检索；

514#1703	塑料管，塑料板，塑料杆，塑料条与1909建筑用塑料管，建筑用塑料板，建筑用塑料杆，建筑用塑料条类似。

515#1704	浇水软管，非金属软管，纺织材料制软管，运载工具散热器用连接软管与1703管道用非金属接头，软管用非金属附件，硬管用非金属附件，1909第（一）部分第一、二自然段类似，与第十一版及以前版本1703软管用非金属接头，第十版及以前版本1703塑料管交叉检索；

516#1704	帆布水龙带与0916消防水龙带类似。

517#1705	本类似群各部分之间商品不类似；

518#1705	防水隔热粉与0205防水粉(涂料)类似;

519#1705	石棉包装材料与第八版及以前版本1707石棉包装材料交叉检索；

520#1705	跨类似群保护商品：绝缘、隔热、隔音用材料（1705第（一）部分，1706）；绝缘、隔热、隔音用毡（1705第（一）部分，1706）；绝缘、隔热、隔音用织物（1705第（一）部分，1706）；绝缘、隔热、隔音用金属箔（1705第（一）部分，1706）；绝缘、隔热、隔音用矿渣棉（1705第（一）部分，1706）；绝缘、隔热、隔音用矿棉（1705第（一）部分，1706）；绝缘、隔热、隔音用玻璃棉（1705第（一）部分，1706）；绝缘、隔热、隔音用物体（1705第（一）部分，1706）；绝缘、隔热、隔音用玻璃纤维（1705第（一）部分，1706）；绝缘、隔热、隔音用玻璃纤维织物（1705第（一）部分，1706）；绝缘、隔热、隔音用石膏（1705第（一）部分，1706）

521#1705	隔热耐火材料与1907商品类似

522#1706	 跨类似群保护商品：绝缘、隔热、隔音用材料（1705第（一）部分，1706）；绝缘、隔热、隔音用毡（1705第（一）部分，1706）；绝缘、隔热、隔音用织物（1705第（一）部分，1706）；绝缘、隔热、隔音用金属箔（1705第（一）部分，1706）；绝缘、隔热、隔音用矿渣棉（1705第（一）部分，1706）；绝缘、隔热、隔音用矿棉（1705第（一）部分，1706）；绝缘、隔热、隔音用玻璃棉（1705第（一）部分，1706）；绝缘、隔热、隔音用物体（1705第（一）部分，1706）；绝缘、隔热、隔音用玻璃纤维（1705第（一）部分，1706）；绝缘、隔热、隔音用玻璃纤维织物（1705第（一）部分，1706）；绝缘、隔热、隔音用石膏（1705第（一）部分，1706）。

